idea_id,difficulty,domain,idea
easy_001,easy,consumer,"A mobile app that helps college students organize study sessions and track assignment deadlines."
easy_002,easy,health_wellness,"A simple AI habit coach that reminds users to drink water, stretch, and sleep on time."
easy_003,easy,education,"A flashcard generator that turns lecture notes into practice questions for high school students."
easy_004,easy,productivity,"A lightweight tool that summarizes long emails and suggests short professional replies."
easy_005,easy,consumer_finance,"An app that helps young adults categorize monthly spending and set simple savings goals."
easy_006,easy,career,"An AI tool that helps job seekers prepare for interviews with practice questions and feedback."
easy_007,easy,local_services,"A platform that connects homeowners with local gardeners for one-time yard cleanup jobs."
easy_008,easy,fitness,"A personalized workout planner for beginners using available home equipment and time constraints."
medium_001,medium,b2b_saas,"An AI customer support copilot for small ecommerce brands that drafts replies, tags tickets, and detects refund-risk cases."
medium_002,medium,legaltech,"An AI contract review assistant for small legal teams that flags risky clauses and summarizes obligations."
medium_003,medium,healthcare_ops,"A scheduling optimization platform that reduces patient no-shows for outpatient clinics using reminders and risk scoring."
medium_004,medium,manufacturing,"An inventory forecasting tool for small manufacturers that predicts stockouts and recommends reorder quantities."
medium_005,medium,real_estate,"A property management assistant that triages tenant maintenance requests and coordinates vendor follow-ups."
medium_006,medium,hrtech,"A skills assessment platform that helps mid-sized companies match internal employees to open project roles."
medium_007,medium,fintech,"A cash-flow forecasting dashboard for freelancers that predicts income gaps and recommends invoice follow-up timing."
medium_008,medium,climate,"A tool for restaurants that tracks food waste, estimates cost loss, and recommends purchasing adjustments."
hard_001,hard,regulated_healthcare,"A HIPAA-aware multi-agent platform that coordinates insurance pre-authorization, patient scheduling, and clinical documentation for specialty clinics."
hard_002,hard,enterprise_compliance,"An AI governance platform that monitors enterprise AI tool usage, maps regulatory risk, and produces audit-ready compliance reports."
hard_003,hard,supply_chain,"A cross-border supply-chain risk platform that predicts shipment delays using vendor data, weather, customs rules, and geopolitical signals."
hard_004,hard,financial_services,"A fraud detection and case-management system for regional banks that combines transaction monitoring, analyst workflow, and explainable risk scoring."
hard_005,hard,energy,"An AI operations platform for renewable energy sites that forecasts equipment failures, schedules maintenance, and optimizes grid commitments."
hard_006,hard,cybersecurity,"A security incident response copilot that decomposes alerts, investigates logs, recommends containment actions, and preserves audit trails."
hard_007,hard,public_sector,"A city-services optimization platform that prioritizes infrastructure repairs across budget, equity, safety, and emergency-response constraints."
hard_008,hard,multi_agent_research,"A multi-agent research assistant that decomposes scientific literature reviews, verifies claims against papers, and optimizes evidence coverage under token budgets."
